IoT_0.EarthFixed.X IoT_0.EarthFixed.Y IoT_0.EarthFixed.Z IoT_1.EarthFixed.X IoT_1.EarthFixed.Y IoT_1.EarthFixed.Z IoT_2.EarthFixed.X IoT_2.EarthFixed.Y IoT_2.EarthFixed.Z IoT_3.EarthFixed.X IoT_3.EarthFixed.Y IoT_3.EarthFixed.Z IoT_4.EarthFixed.X IoT_4.EarthFixed.Y IoT_4.EarthFixed.Z IoT_5.EarthFixed.X IoT_5.EarthFixed.Y IoT_5.EarthFixed.Z IoT_6.EarthFixed.X IoT_6.EarthFixed.Y IoT_6.EarthFixed.Z IoT_7.EarthFixed.X IoT_7.EarthFixed.Y IoT_7.EarthFixed.Z IoT_8.EarthFixed.X IoT_8.EarthFixed.Y IoT_8.EarthFixed.Z IoT_9.EarthFixed.X IoT_9.EarthFixed.Y IoT_9.EarthFixed.Z
5033.6868780407 -3202.997036770026 -2254.646104749256 3936.314878687932 -1529.254506619825 4779.898376658301 4584.804418313433 -4433.978279450754 -5.26541073856472 5680.111931556219 1011.567246216746 -2719.132731727501 5630.280816200233 -1657.861274697757 -2496.408737759678 2506.014348621272 -3611.583687390636 4621.361056534737 2852.790832592763 -3746.708517718228 -4301.672048181968 5244.838087615603 -1752.231839662475 3178.361162005895 4235.565230245182 -3354.468550491663 3389.417440428096 5047.775667362345 -3318.077239454848 -2047.180232997086
5033.686878040701 -3202.997036770026 -2254.646104749257 3936.314878687932 -1529.254506619825 4779.898376658302 4584.804418313433 -4433.978279450755 -5.265410738564993 5680.111931556217 1011.567246216745 -2719.132731727501 5630.280816200233 -1657.861274697757 -2496.408737759679 2506.014348621272 -3611.583687390634 4621.361056534737 2852.790832592764 -3746.708517718228 -4301.67204818197 5244.838087615602 -1752.231839662475 3178.361162005896 4235.56523024518 -3354.468550491663 3389.417440428097 5047.775667362347 -3318.077239454848 -2047.180232997086
5033.6868780407 -3202.997036770027 -2254.646104749256 3936.314878687931 -1529.254506619825 4779.898376658301 4584.804418313432 -4433.978279450756 -5.265410738565031 5680.111931556217 1011.567246216745 -2719.1327317275 5630.280816200231 -1657.861274697757 -2496.408737759678 2506.014348621272 -3611.583687390636 4621.361056534736 2852.790832592763 -3746.708517718229 -4301.672048181968 5244.838087615602 -1752.231839662475 3178.361162005895 4235.56523024518 -3354.468550491664 3389.417440428096 5047.775667362347 -3318.077239454848 -2047.180232997086
5033.686878040701 -3202.997036770026 -2254.646104749256 3936.314878687932 -1529.254506619825 4779.898376658301 4584.804418313432 -4433.978279450754 -5.26541073856507 5680.111931556218 1011.567246216745 -2719.132731727501 5630.280816200235 -1657.861274697757 -2496.408737759678 2506.014348621272 -3611.583687390635 4621.361056534736 2852.790832592763 -3746.708517718228 -4301.672048181969 5244.838087615603 -1752.231839662475 3178.361162005895 4235.565230245181 -3354.468550491662 3389.417440428096 5047.775667362347 -3318.077239454848 -2047.180232997086
5033.6868780407 -3202.997036770026 -2254.646104749255 3936.31487868793 -1529.254506619825 4779.898376658301 4584.804418313429 -4433.978279450755 -5.265410738564885 5680.111931556218 1011.567246216746 -2719.132731727501 5630.280816200231 -1657.861274697757 -2496.408737759678 2506.014348621272 -3611.583687390636 4621.361056534736 2852.790832592763 -3746.708517718229 -4301.672048181968 5244.838087615602 -1752.231839662475 3178.361162005895 4235.56523024518 -3354.468550491663 3389.417440428095 5047.775667362346 -3318.077239454848 -2047.180232997085
5033.686878040699 -3202.997036770026 -2254.646104749256 3936.31487868793 -1529.254506619824 4779.898376658302 4584.80441831343 -4433.978279450754 -5.26541073856492 5680.111931556215 1011.567246216745 -2719.132731727501 5630.280816200231 -1657.861274697757 -2496.408737759678 2506.014348621271 -3611.583687390634 4621.361056534737 2852.790832592762 -3746.708517718228 -4301.672048181968 5244.838087615602 -1752.231839662475 3178.361162005895 4235.56523024518 -3354.468550491662 3389.417440428096 5047.775667362345 -3318.077239454848 -2047.180232997086
5033.686878040699 -3202.997036770025 -2254.646104749257 3936.31487868793 -1529.254506619824 4779.898376658302 4584.804418313431 -4433.978279450753 -5.265410738564953 5680.111931556216 1011.567246216745 -2719.132731727501 5630.280816200231 -1657.861274697756 -2496.408737759679 2506.014348621271 -3611.583687390634 4621.361056534738 2852.790832592761 -3746.708517718227 -4301.672048181969 5244.838087615602 -1752.231839662474 3178.361162005896 4235.565230245178 -3354.468550491661 3389.417440428097 5047.775667362345 -3318.077239454847 -2047.180232997086
5033.686878040702 -3202.997036770025 -2254.646104749256 3936.314878687932 -1529.254506619825 4779.898376658302 4584.804418313433 -4433.978279450752 -5.265410738564984 5680.11193155622 1011.567246216744 -2719.132731727501 5630.280816200235 -1657.861274697757 -2496.408737759679 2506.014348621274 -3611.583687390633 4621.361056534736 2852.790832592765 -3746.708517718228 -4301.672048181969 5244.838087615604 -1752.231839662474 3178.361162005896 4235.565230245182 -3354.468550491662 3389.417440428097 5047.775667362348 -3318.077239454847 -2047.180232997086
5033.6868780407 -3202.997036770026 -2254.646104749256 3936.314878687931 -1529.254506619824 4779.898376658301 4584.804418313432 -4433.978279450755 -5.265410738565222 5680.111931556217 1011.567246216745 -2719.1327317275 5630.280816200233 -1657.861274697757 -2496.408737759678 2506.014348621271 -3611.583687390635 4621.361056534735 2852.790832592763 -3746.708517718228 -4301.672048181968 5244.838087615602 -1752.231839662474 3178.361162005895 4235.56523024518 -3354.468550491662 3389.417440428095 5047.775667362347 -3318.077239454848 -2047.180232997085
5033.6868780407 -3202.997036770026 -2254.646104749256 3936.314878687931 -1529.254506619824 4779.898376658302 4584.804418313431 -4433.978279450754 -5.265410738565029 5680.111931556215 1011.567246216745 -2719.132731727501 5630.280816200232 -1657.861274697757 -2496.408737759678 2506.014348621271 -3611.583687390635 4621.361056534736 2852.790832592762 -3746.708517718228 -4301.672048181969 5244.838087615601 -1752.231839662474 3178.361162005895 4235.56523024518 -3354.468550491662 3389.417440428096 5047.775667362345 -3318.077239454848 -2047.180232997086
5033.6868780407 -3202.997036770026 -2254.646104749257 3936.314878687931 -1529.254506619825 4779.898376658303 4584.804418313431 -4433.978279450755 -5.265410738565255 5680.111931556217 1011.567246216745 -2719.132731727502 5630.280816200231 -1657.861274697757 -2496.40873775968 2506.014348621272 -3611.583687390635 4621.361056534737 2852.790832592762 -3746.70851771823 -4301.67204818197 5244.838087615602 -1752.231839662475 3178.361162005896 4235.565230245179 -3354.468550491663 3389.417440428097 5047.775667362346 -3318.077239454848 -2047.180232997086
5033.6868780407 -3202.997036770027 -2254.646104749257 3936.314878687931 -1529.254506619825 4779.898376658301 4584.804418313431 -4433.978279450756 -5.265410738565064 5680.111931556216 1011.567246216746 -2719.132731727501 5630.280816200231 -1657.861274697757 -2496.408737759679 2506.014348621272 -3611.583687390636 4621.361056534737 2852.790832592762 -3746.708517718229 -4301.672048181968 5244.838087615602 -1752.231839662475 3178.361162005895 4235.565230245179 -3354.468550491663 3389.417440428096 5047.775667362346 -3318.077239454848 -2047.180232997086
5033.686878040699 -3202.997036770027 -2254.646104749256 3936.31487868793 -1529.254506619825 4779.898376658301 4584.804418313431 -4433.978279450755 -5.265410738565281 5680.111931556215 1011.567246216745 -2719.1327317275 5630.280816200231 -1657.861274697757 -2496.408737759678 2506.014348621271 -3611.583687390636 4621.361056534734 2852.790832592762 -3746.708517718229 -4301.672048181968 5244.8380876156 -1752.231839662474 3178.361162005895 4235.565230245179 -3354.468550491663 3389.417440428095 5047.775667362346 -3318.077239454848 -2047.180232997086
5033.6868780407 -3202.997036770027 -2254.646104749257 3936.314878687931 -1529.254506619825 4779.898376658301 4584.804418313432 -4433.978279450756 -5.265410738565086 5680.111931556217 1011.567246216746 -2719.132731727501 5630.280816200232 -1657.861274697757 -2496.408737759678 2506.014348621272 -3611.583687390636 4621.361056534737 2852.790832592763 -3746.70851771823 -4301.672048181968 5244.838087615602 -1752.231839662475 3178.361162005895 4235.56523024518 -3354.468550491663 3389.417440428095 5047.775667362345 -3318.077239454849 -2047.180232997086
5033.686878040702 -3202.997036770026 -2254.646104749257 3936.314878687932 -1529.254506619825 4779.898376658304 4584.804418313433 -4433.978279450755 -5.265410738564707 5680.111931556219 1011.567246216745 -2719.132731727502 5630.280816200233 -1657.861274697757 -2496.408737759679 2506.014348621273 -3611.583687390636 4621.361056534738 2852.790832592764 -3746.708517718228 -4301.672048181969 5244.838087615604 -1752.231839662475 3178.361162005895 4235.565230245181 -3354.468550491663 3389.417440428097 5047.775667362349 -3318.077239454848 -2047.180232997086
5033.6868780407 -3202.997036770026 -2254.646104749257 3936.31487868793 -1529.254506619825 4779.898376658303 4584.804418313432 -4433.978279450754 -5.265410738564908 5680.111931556216 1011.567246216745 -2719.132731727502 5630.280816200232 -1657.861274697757 -2496.40873775968 2506.014348621272 -3611.583687390636 4621.361056534737 2852.790832592763 -3746.708517718228 -4301.672048181969 5244.838087615602 -1752.231839662475 3178.361162005896 4235.56523024518 -3354.468550491664 3389.417440428097 5047.775667362346 -3318.077239454849 -2047.180232997086
5033.6868780407 -3202.997036770026 -2254.646104749256 3936.314878687932 -1529.254506619826 4779.898376658301 4584.804418313432 -4433.978279450755 -5.265410738564721 5680.111931556217 1011.567246216746 -2719.132731727502 5630.280816200232 -1657.861274697757 -2496.408737759679 2506.014348621272 -3611.583687390636 4621.361056534737 2852.790832592763 -3746.708517718229 -4301.672048181968 5244.838087615602 -1752.231839662475 3178.361162005895 4235.565230245181 -3354.468550491664 3389.417440428097 5047.775667362347 -3318.077239454848 -2047.180232997086
5033.686878040701 -3202.997036770025 -2254.646104749257 3936.314878687931 -1529.254506619824 4779.898376658301 4584.804418313432 -4433.978279450754 -5.265410738565111 5680.111931556217 1011.567246216744 -2719.132731727501 5630.280816200232 -1657.861274697757 -2496.408737759679 2506.014348621272 -3611.583687390635 4621.361056534737 2852.790832592762 -3746.708517718228 -4301.67204818197 5244.838087615602 -1752.231839662475 3178.361162005896 4235.565230245181 -3354.468550491662 3389.417440428097 5047.775667362345 -3318.077239454847 -2047.180232997086
5033.686878040701 -3202.997036770027 -2254.646104749257 3936.314878687931 -1529.254506619825 4779.898376658302 4584.804418313433 -4433.978279450755 -5.265410738564926 5680.111931556218 1011.567246216744 -2719.132731727502 5630.280816200233 -1657.861274697758 -2496.408737759679 2506.014348621272 -3611.583687390636 4621.361056534736 2852.790832592763 -3746.708517718229 -4301.672048181968 5244.838087615602 -1752.231839662475 3178.361162005895 4235.56523024518 -3354.468550491663 3389.417440428096 5047.775667362347 -3318.077239454849 -2047.180232997086
5033.6868780407 -3202.997036770026 -2254.646104749257 3936.314878687931 -1529.254506619825 4779.898376658303 4584.804418313432 -4433.978279450755 -5.265410738565114 5680.111931556218 1011.567246216745 -2719.132731727502 5630.280816200232 -1657.861274697757 -2496.408737759679 2506.014348621272 -3611.583687390635 4621.361056534738 2852.790832592763 -3746.708517718229 -4301.67204818197 5244.838087615602 -1752.231839662475 3178.361162005896 4235.56523024518 -3354.468550491663 3389.417440428098 5047.775667362347 -3318.077239454849 -2047.180232997086
5033.6868780407 -3202.997036770026 -2254.646104749257 3936.314878687932 -1529.254506619825 4779.898376658301 4584.804418313431 -4433.978279450753 -5.265410738565104 5680.111931556216 1011.567246216745 -2719.132731727501 5630.280816200231 -1657.861274697757 -2496.408737759679 2506.014348621272 -3611.583687390634 4621.361056534737 2852.790832592763 -3746.708517718228 -4301.672048181969 5244.838087615602 -1752.231839662475 3178.361162005895 4235.56523024518 -3354.468550491662 3389.417440428097 5047.775667362347 -3318.077239454848 -2047.180232997086
5033.686878040701 -3202.997036770025 -2254.646104749256 3936.314878687931 -1529.254506619825 4779.8983766583 4584.804418313432 -4433.978279450752 -5.26541073856492 5680.111931556217 1011.567246216744 -2719.1327317275 5630.280816200232 -1657.861274697757 -2496.408737759678 2506.014348621272 -3611.583687390634 4621.361056534736 2852.790832592763 -3746.708517718228 -4301.672048181968 5244.838087615602 -1752.231839662474 3178.361162005894 4235.56523024518 -3354.468550491662 3389.417440428095 5047.775667362345 -3318.077239454847 -2047.180232997085
5033.686878040699 -3202.997036770026 -2254.646104749257 3936.314878687931 -1529.254506619825 4779.898376658302 4584.804418313431 -4433.978279450756 -5.265410738565275 5680.111931556215 1011.567246216746 -2719.132731727501 5630.280816200231 -1657.861274697757 -2496.408737759678 2506.014348621272 -3611.583687390636 4621.361056534736 2852.790832592762 -3746.708517718229 -4301.672048181968 5244.838087615602 -1752.231839662475 3178.361162005895 4235.565230245179 -3354.468550491663 3389.417440428096 5047.775667362344 -3318.077239454849 -2047.180232997086
5033.686878040699 -3202.997036770026 -2254.646104749257 3936.31487868793 -1529.254506619825 4779.898376658303 4584.804418313431 -4433.978279450755 -5.265410738564899 5680.111931556216 1011.567246216746 -2719.132731727502 5630.280816200231 -1657.861274697757 -2496.408737759679 2506.014348621271 -3611.583687390636 4621.361056534739 2852.790832592762 -3746.708517718228 -4301.67204818197 5244.838087615602 -1752.231839662475 3178.361162005896 4235.565230245179 -3354.468550491662 3389.417440428097 5047.775667362344 -3318.077239454848 -2047.180232997086
5033.6868780407 -3202.997036770026 -2254.646104749257 3936.314878687931 -1529.254506619825 4779.898376658303 4584.804418313433 -4433.978279450756 -5.265410738565076 5680.111931556218 1011.567246216744 -2719.132731727502 5630.280816200233 -1657.861274697758 -2496.408737759679 2506.014348621272 -3611.583687390636 4621.361056534737 2852.790832592764 -3746.708517718229 -4301.672048181969 5244.838087615604 -1752.231839662475 3178.361162005895 4235.565230245181 -3354.468550491663 3389.417440428097 5047.775667362348 -3318.077239454848 -2047.180232997086
5033.6868780407 -3202.997036770025 -2254.646104749256 3936.314878687931 -1529.254506619825 4779.898376658301 4584.804418313432 -4433.978279450753 -5.265410738564887 5680.111931556217 1011.567246216745 -2719.132731727501 5630.280816200231 -1657.861274697757 -2496.408737759678 2506.014348621272 -3611.583687390635 4621.361056534737 2852.790832592763 -3746.708517718228 -4301.672048181968 5244.838087615602 -1752.231839662474 3178.361162005895 4235.56523024518 -3354.468550491662 3389.417440428096 5047.775667362346 -3318.077239454848 -2047.180232997085
5033.6868780407 -3202.997036770025 -2254.646104749257 3936.314878687931 -1529.254506619825 4779.898376658302 4584.804418313433 -4433.978279450754 -5.265410738565055 5680.111931556217 1011.567246216744 -2719.132731727502 5630.280816200232 -1657.861274697756 -2496.408737759679 2506.014348621273 -3611.583687390635 4621.361056534737 2852.790832592762 -3746.708517718228 -4301.672048181969 5244.838087615602 -1752.231839662474 3178.361162005896 4235.565230245179 -3354.468550491662 3389.417440428096 5047.775667362346 -3318.077239454848 -2047.180232997086
5033.686878040701 -3202.997036770025 -2254.646104749257 3936.314878687931 -1529.254506619825 4779.898376658302 4584.804418313433 -4433.978279450753 -5.26541073856486 5680.111931556218 1011.567246216745 -2719.132731727501 5630.280816200233 -1657.861274697756 -2496.408737759679 2506.014348621271 -3611.583687390635 4621.361056534737 2852.790832592762 -3746.708517718228 -4301.672048181969 5244.838087615602 -1752.231839662474 3178.361162005895 4235.56523024518 -3354.468550491662 3389.417440428096 5047.775667362347 -3318.077239454848 -2047.180232997086
5033.686878040699 -3202.997036770026 -2254.646104749258 3936.314878687931 -1529.254506619825 4779.898376658303 4584.80441831343 -4433.978279450756 -5.265410738565013 5680.111931556216 1011.567246216746 -2719.132731727502 5630.280816200231 -1657.861274697757 -2496.40873775968 2506.014348621271 -3611.583687390636 4621.361056534739 2852.790832592762 -3746.70851771823 -4301.672048181971 5244.838087615601 -1752.231839662475 3178.361162005896 4235.565230245178 -3354.468550491664 3389.417440428097 5047.775667362344 -3318.077239454848 -2047.180232997086
